,text
0,"['ab', 'kia', 'plan', 'ha', 'mehengai', 'k', 'zimedar', 'shebaz', 'shariff', 'ko', 'tehra', 'k', 'nawaz', 'shariff', 'ko', 'dudh', 'ka', 'dula', 'sabith', 'krna', 'ha']"
1,"['international', 'world', 'main', 'oil', 'prices', 'down', 'by', 'in', 'last', 'months', 'and', 'in', 'pak', 'increased', 'by', 'and', 'now', 'pml', 'n', 'dancing', 'over', 'decrease', 'awaam', 'mehengai', 'say', 'mar', 'rahi', 'leken', 'afsos', 'pm', 'aur', 'govt', 'ko', 'koi', 'parwa', 'nahin', 'jahaan', 'kam', 'say', 'kam', 'rupay', 'relief', 'banta', 'tha', 'udher', 'sirf', 'rs']"
2,"['international', 'world', 'main', 'oil', 'prices', 'down', 'by', 'in', 'last', 'months', 'and', 'in', 'pak', 'increased', 'by', 'and', 'now', 'pml', 'n', 'dancing', 'over', 'decrease', 'awaam', 'mehengai', 'say', 'mar', 'rahi', 'leken', 'afsos', 'prime', 'minister', 'aur', 'govt', 'ko', 'koi', 'parwa', 'nahin', 'jahaan', 'kam', 'say', 'kam', 'rupay', 'relief', 'banta', 'tha', 'udher', 'sirif']"
3,"['haan', 'na', 'jaise', 'tum', 'log', 'har', 'baat', 'k', 'liye', 'modi', 'ko', 'blame', 'kar', 'dete', 'ho', 'na', 'bacche', 'paida', 'karo', 'or', 'baat', 'mehengai', 'ki', 'tu', 'ja', 'ree', 'sar', 'tan', 'se', 'juda', 'kar', 'logon', 'ka', 'tum', 'wahi', 'kar', 'sakte', 'ho']"
4,"['jarurat', 'nahi', 'iski', 'bharat', 'ki', 'janta', 'ka', 'diya', 'hua', 'tax', 'muft', 'me', 'batne', 'ki', 'jarurat', 'nahi', 'hai', 'inko', 'bharat', 'ratna', 'dekar', 'humare', 'desh', 'ki', 'economy', 'aur', 'mehengai', 'kam', 'nahi', 'ho', 'jayegi', 'us', 'iske', 'sahi', 'haqdaar', 'hai', 'unko', 'diya', 'jaye', 'jinhone', 'desh', 'ke', 'liya', 'jiya', 'hai', 'desh', 'ke', 'liye', 'kiya', 'hai']"
5,"['iqrar', 'sb', 'es', 'say', 'andaza', 'hota', 'apki', 'tarjihaat', 'ka', 'mulk', 'main', 'awaam', 'bay', 'panah', 'mehengai', 'say', 'tang', 'aai', 'hui', 'aur', 'aap', 'apni', 'sahafat', 'ka', 'muzahira', 'jhugtain', 'maar', 'kar', 'dikha', 'rahay', 'please', 'raise', 'your', 'caliber']"
6,"['ab', 'ye', 'bhosro', 'insan', 'chahta', 'ha', 'mehengai', 'se', 'preshan', 'insan', 'iski', 'gnd', 'ke', 'pichy', 'lag', 'jaye']"
7,"['chalo', 'sukar', 'hai', 'apko', 'yad', 'tu', 'ayi', 'ki', 'mehengai', 'hai']"
8,"['tu', 'kitna', 'sangharsh', 'kar', 'raha', 'hai', 'mehengai', 'ke', 'khilaf', 'ghade', 'dharam', 'ka', 'gyan', 'rakho', 'usme', 'kuch', 'ghalat', 'nahi', 'hai']"
9,"['aj', 'aj', 'ki', 'baat', 'karo', 'kal', 'pe', 'q', 'rooye', 'saal', 'ki', 'baat', 'na', 'btao', 'jo', 'aj', 'ko', 'na', 'samjh', 'paayee', 'mehengai', 'ki', 'koi', 'baat', 'na', 'kare', 'kal', 'ko', 'le', 'kar', 'kahe', 'pachtaaye', 'garib', 'ko', 'khana', 'na', 'mile', 'desh', 'ke', 'mahaan', 'neta', 'bollywood', 'pe', 'gyan', 'jataaye', 'namaste']"
10,"['ab', 'corruption', 'pe', 'hamid', 'mir', 'bolega', 'what', 'a', 'joke', 'bhai', 'mehengai', 'pe', 'q', 'program', 'nahi', 'kr', 'rahe', 'zara', 'awam', 'me', 'aao', 'or', 'program', 'karo', 'tumhe', 'pata', 'chalega', 'k', 'log', 'tum', 'pmd', 'k', 'media', 'walun', 'se', 'kitni', 'muhabbat', 'karte', 'hain']"
11,"['mehengai', 'khtm', 'karne', 'aye', 'thy', 'mulk', 'khtm', 'kar', 'k', 'jayengy']"
12,"['mehengai', 'had', 'se', 'barh', 'chucki', 'hai', 'iqrar', 'bhai', 'bhi', 'ulte', 'seedhe', 'tweet', 'karke', 'batana', 'chahte', 'hain', 'ke', 'kis', 'had', 'tak', 'barh', 'chucki', 'hai', 'lekin', 'bhai', 'ghareeb', 'ko', 'lifafay', 'nhi', 'milte', 'barai', 'meherbani', 'khamosh', 'rahe', 'warna', 'unfollow', 'kar', 'doonga']"
